# ガス事業者別排出係数（特定排出者の温室効果ガス排出量算定用）
# 出典: －R7年度供給実績－ R8.6.30 環境省・経済産業省公表（単位 t-CO2/千m3）
# 公表資料を Japan GX Group が加工して作成（PDFからの抽出・転記）。加工後の値について公表元は責任を負わない。
# Apache License 2.0 の対象外。原典に対する権利は公表元に帰属するが、公共データ利用規約（第1.0版）＝CC BY 4.0 互換のため、
# 出典と加工した旨を表示すれば商用利用・改変・再配布ができる（NOTICE 参照。再配布時はこの表示を保持すること）。
# 列: 登録番号 <TAB> ガス事業者名 <TAB> メニュー名（供給区域＋メニュー） <TAB> 基礎排出係数 <TAB> 調整後排出係数
# 件数が少ないため公表PDFから手書きで転記してコミットする（値のレビューを可能にするため）。
D0028	東海ガス株式会社	藤枝・焼津・島田地域 メニューA	2.09	0.00
D0028	東海ガス株式会社	藤枝・焼津・島田地域 残差	2.09	2.09
D0028	東海ガス株式会社	下仁田 メニューA	2.09	0.00
D0028	東海ガス株式会社	下仁田 残差	2.09	2.09
D0035	大多喜ガス株式会社	大多喜ガス株式会社の供給エリア（払出エリアA）	1.81	1.81
D0035	大多喜ガス株式会社	大多喜ガス株式会社の供給エリア（払出エリアB）	2.09	2.09
D0035	大多喜ガス株式会社	大多喜ガス株式会社の供給エリア（払出エリアC）	2.13	2.13
D0046	武陽ガス株式会社	武陽ガス株式会社の供給区域 メニューA	2.09	0.00
D0046	武陽ガス株式会社	武陽ガス株式会社の供給区域 残差	2.09	2.09
D0055	大東ガス株式会社	大東ガス株式会社の供給区域 メニューA	2.09	0.00
D0055	大東ガス株式会社	大東ガス株式会社の供給区域 残差	2.09	2.09
D0056	昭島ガス株式会社	昭島ガス株式会社の供給区域 メニューA	2.09	0.00
D0056	昭島ガス株式会社	昭島ガス株式会社の供給区域 残差	2.09	2.09
D0060	長野都市ガス株式会社	長野都市ガス株式会社の供給区域	2.09	2.09
D0064	白根ガス株式会社	燕地区 メニューA	2.01	0.00
D0064	白根ガス株式会社	燕地区 残差	2.01	2.01
D0064	白根ガス株式会社	新潟南地区	2.01	2.01
D0072	鷲宮ガス株式会社	鷲宮ガス株式会社の供給区域 メニューA	2.09	0.00
D0072	鷲宮ガス株式会社	鷲宮ガス株式会社の供給区域 残差	2.09	2.09
D0176	太田都市ガス株式会社	太田都市ガス株式会社の供給区域 メニューA	2.09	0.00
D0176	太田都市ガス株式会社	太田都市ガス株式会社の供給区域 残差	2.09	2.09
H0001	広島ガス株式会社	広島ガス株式会社の供給区域 メニューA	2.09	0.00
H0001	広島ガス株式会社	広島ガス株式会社の供給区域 残差	2.09	2.09
H0004	山口合同ガス株式会社	山口合同ガス株式会社の供給区域	2.13	2.13
H0006	津山ガス株式会社	津山市内	2.13	2.13
H0006	津山ガス株式会社	勝央天然ガス事業所	2.00	2.00
H0011	出雲ガス株式会社	出雲ガス株式会社の供給区域	2.13	2.13
K0010	日本瓦斯株式会社	日本瓦斯株式会社の供給区域 メニューA	0.16	0.16
K0010	日本瓦斯株式会社	日本瓦斯株式会社の供給区域 残差	2.14	2.14
K0052	第一ガス株式会社	第一ガス株式会社の供給区域	2.91	2.91
